,0,1,2,3,4
2,2016-07-26,北京远特科技,100%,6.75亿人民币,兴民钢圈
3,2016-07-26,凯立德,100%,16亿人民币,兴民钢圈
4,2016-07-26,奥腾电子,56%,5.5亿人民币,兴民钢圈
5,2016-07-25,点名时间,100%,未透露,91金融
6,2016-07-22,隆麟Maxer麦克斯电竞,100%,4.14亿人民币,万好万家文化
7,2016-07-22,快屏网络电竞虎,100%,3.7亿人民币,万好万家文化
8,2016-07-22,联汛教育,80%,5.76亿人民币,文化长城
9,2016-07-20,开心网,100%,未透露,赛为智能
10,2016-07-19,留学360教育,100%,3.44亿人民币,立思辰
11,2016-07-18,酷狗音乐,100%,数亿人民币,腾讯
12,2016-07-18,酷我音乐,100%,未透露,腾讯
13,2016-07-15,萝卜玩,100%,数千万人民币,游龙网络
14,2016-07-15,恒峰信息,100%,8.06亿人民币,汇冠股份
0,2016-07-15,海洋音乐China Music Corp,60%,数亿美元,腾讯
1,2016-07-08,华苏科技,99%,11.8亿人民币,神州数码
2,2016-07-07,五千年医药,100%,1680万人民币,阿里健康(阿里巴巴)
3,2016-07-05,豌豆荚,100%,2亿美元,阿里巴巴
4,2016-07-05,OnlyLady女人志,80%,2.94亿人民币,星球六鞋业
5,2016-07-05,Kimiss闺蜜网,70%,7700万人民币,星球六鞋业
6,2016-07-03,伊尔美港华,80%,2.08亿人民币,苏宁环球
7,2016-06-25,中科鼎富科技,100%,6亿人民币,泰岳梧桐资本
8,2016-06-22,蚂蚁短租,100%,数千万美元,途家
9,2016-06-20,1号店,100%,数亿美元,京东
10,2016-06-16,顺顺留学,未透露,数千万人民币,好未来(学而思)
11,2016-06-14,四川米兰,63%,3.27亿人民币,朗姿股份
12,2016-06-13,名医挂号网,未透露,数亿人民币,复星医药
13,2016-06-07,奇乐无限,100%,4.95亿人民币,英雄互娱
14,2016-06-02,绿洲游戏Oasis Games幻想悦游,94%,36.76亿人民币,天神娱乐
0,2016-06-02,合润传媒,96%,7.42亿人民币,天神娱乐
1,2016-05-28,猫眼电影,57%,47.64亿人民币,光线传媒
2,2016-05-18,齐乐乐766游戏网,100%,数千万人民币,完美世界
3,2016-05-17,杰发科技,100%,38.75亿人民币,四维图新
4,2016-05-13,胡莱游戏,100%,26亿人民币,万达院线(万达影视)
5,2016-05-13,海鼎信息,18%,未透露,万达集团
6,2016-05-13,汇晨养老,100%,数亿人民币,光大集团
7,2016-05-12,袋鼠跳跳,100%,数千万人民币,腾讯
8,2016-05-11,管易云,58%,2.5亿人民币,金蝶国际
